undo	адрабіць
uninstall	высталёўваць
unlocked	адамкнулі
unlocking	адмыкаць
unlock	адмыкаць
unmounted	адмацавалі
unmounting	адмацоўваецца
unmount	адмацоўваць
unsuccessful	не ўдалося
untitled	бяз назвы
updated	абнавілі
upgraded	палепшылі
upgrade	паляпшаць
USB Mass Storage	сховішча USB
valid	чынны
vCard	візытоўка
vibrate	трымцець
vibrator	трымценьнік
view	зірнуць
Voice input & output	Уводзіць і выводзіць голасам
Voice input	Уводзіць голасам
voicemail	галасавая пошта
voice output	выводзіць голасам
warning	перасьцярога
web page	бачына сеціва
web	сеціва
widgets	віджэты
widget	віджэт
wireless	бяздротавы
